,high_standard_deviation,low_standard_deviation,negative_skewness,normal_standard_deviation,positive_skewness,x,zero_snewness
580,0.09196030440454628,0.004425485336341878,0.01543312143271335,0.14417214931081995,0.27291117718892655,1.611611611611611,0.14417214931081995
581,0.09177390096495905,0.003886544127445105,0.014694960567990807,0.14300675151684597,0.27131854246570114,1.631631631631631,0.14300675151684597
582,0.09158558111052593,0.0034077681294872584,0.013985876965566644,0.1418365612941578,0.269687245622749,1.651651651651651,0.1418365612941578
583,0.09139535819878103,0.0029831851458364082,0.013305075561849263,0.14066185139372597,0.26801862722560266,1.671671671671671,0.14066185139372597
584,0.09120324570254741,0.0026073186780617773,0.012651764261629346,0.13948289367410813,0.2663140230865869,1.691691691691691,0.13948289367410813
585,0.09100925720834918,0.002275159041509671,0.012025155051439473,0.13829995900033865,0.2645747629492378,1.711711711711711,0.13829995900033865
586,0.09081340641481246,0.0019821346003201287,0.011424465056736041,0.13711331714415637,0.2628021692315767,1.7317317317317311,0.13711331714415637
587,0.09061570713105596,0.001724083365286023,0.010848917542684767,0.1359232366856186,0.26099755582855244,1.7517517517517511,0.1359232366856186
588,0.09041617327507097,0.0014972251633444972,0.010297742858507411,0.1347299849161491,0.2591622269737908,1.7717717717717711,0.1347299849161491
589,0.09021481887209125,0.001298134554785952,0.009770179325515339,0.13353382774306524,0.25729747616061516,1.7917917917917912,0.13353382774306524
590,0.09001165805295325,0.001123714643663988,0.009265474069116278,0.132335029595629,0.25540458512214176,1.8118118118118112,0.132335029595629
591,0.08980670505244656,0.0009711718985302113,0.008782883795233485,0.1311338533326644,0.2534848228700953,1.8318318318318312,0.1311338533326644
592,0.08959997420765509,0.0008379920745881213,0.008321675511720885,0.12993056015178317,0.2515394447918455,1.8518518518518512,0.12993056015178317
593,0.08939147995628928,0.0007219173047020972,0.007881127195493876,0.12872540950025785,0.24956969180502184,1.8718718718718712,0.12872540950025785
594,0.08918123683500949,0.0006209244054112031,0.007460528406222909,0.12751865898758138,0.24757678956893986,1.8918918918918912,0.12751865898758138
595,0.08896925947774088,0.0005332044251484291,0.007059180847555878,0.12631056429974968,0.24556194775194348,1.9119119119119112,0.12631056429974968
596,0.08875556261398011,0.00045714344518920286,0.006676398876945223,0.12510137911530259,0.24352635935365996,1.9319319319319312,0.12510137911530259
597,0.08854016106709398,0.0003913046293588176,0.0063115099652569315,0.12389135502315682,0.2414712000810567,1.9519519519519513,0.12389135502315682
598,0.08832306975261058,0.00033441150610706225,0.005963855107431168,0.12268074144226346,0.23939762777709572,1.9719719719719713,0.12268074144226346
599,0.08810430367650282,0.0002853324560846163,0.005632789185547805,0.12146978554312016,0.23730678190069251,1.9919919919919913,0.12146978554312016
600,0.08788387793346504,0.00024306636969331888,0.0053176812857253794,0.12025873217116724,0.2351997830566091,2.0120120120120113,0.12025873217116724
601,0.08766180770518262,0.00020672943208739473,0.005017914970348421,0.11904782377209529,0.23307773257384215,2.0320320320320313,0.11904782377209529
602,0.08743810825859498,0.00017554298762731375,0.004732888507176389,0.1178373003190897,0.23094171213100304,2.0520520520520513,0.1178373003190897
603,0.08721279494415257,0.0001488224316833556,0.004462015056937377,0.11662739924203683,0.22879278342713627,2.0720720720720713,0.11662739924203683
604,0.08698588319406744,0.00012596707480483092,0.0042047228210517875,0.11541835535871371,0.22663198789637565,2.0920920920920913,0.11541835535871371
605,0.08675738852055837,0.00010645092246975144,0.003960455151165448,0.11421040080798305,0.22446034646480065,2.1121121121121114,0.11421040080798305
606,0.08652732651409038,8.981431277041476e-05,0.00372867062219842,0.11300376498501241,0.2222788593478264,2.1321321321321314,0.11300376498501241
607,0.0862957128416092,7.565635434176293e-05,0.0035088430706352444,0.11179867447853525,0.22008850588643528,2.1521521521521514,0.11179867447853525
608,0.08606256324477056,6.362810747828733e-05,0.003300461599795165,0.11059535301017048,0.2178902444205458,2.1721721721721714,0.11059535301017048
609,0.08582789353816525,5.34264525972825e-05,0.003103030553826656,0.10939402137581448,0.2156850121978023,2.1921921921921914,0.10939402137581448
610,0.08559171960753947,4.4788591886284226e-05,0.002916069462170505,0.10819489738911894,0.21347372531606737,2.2122122122122114,0.10819489738911894
611,0.0853540574080113,3.748713202493476e-05,0.002739112956229366,0.10699819582706564,0.21125727869790192,2.2322322322322314,0.10699819582706564
612,0.08511492296228329,3.132569821029071e-05,0.002571710659969866,0.10580412837764816,0.20903654609532646,2.2522522522522515,0.10580412837764816
613,0.08487433235885168,2.613503226315154e-05,0.0024134270561662085,0.10461290358966827,0.20681238012317033,2.2722722722722715,0.10461290358966827
614,0.08463230175021219,2.176953028396134e-05,0.002263841329972169,0.10342472682465426,0.20458561231933634,2.2922922922922915,0.10342472682465426
615,0.08438884735106296,1.810417810162091e-05,0.002122547191481784,0.10223980021090566,0.20235705323032951,2.3123123123123115,0.10223980021090566
616,0.08414398543650489,1.5031845566878183e-05,0.00198915267890815,0.10105832259966827,0.20012749252042838,2.3323323323323315,0.10105832259966827
617,0.08389773234023937,1.2460903541311683e-05,0.001863279943975119,0.09988048952344131,0.1978976991029075,2.3523523523523515,0.09988048952344131
618,0.0836501044527641,1.0313130187948566e-05,0.0017445650210784673,0.09870649315641729,0.1956684212917561,2.3723723723723715,0.09870649315641729
619,0.08340111821956699,8.521875851452528e-06,0.0016326575817317156,0.0975365222770536,0.19344038697237548,2.3923923923923915,0.0975365222770536
620,0.08315079013931832,7.030458401694169e-06,0.0015272206757676948,0.09637076223277313,0.19121430378977858,2.4124124124124116,0.09637076223277313
621,0.082899136762062,5.790763386760583e-06,0.0014279304607202061,0.09520939490679041,0.1889908593528606,2.4324324324324316,0.09520939490679041
